Uniq Id,Product Name,Brand Name,Category,Product Description,Selling Price,Product Specification,Technical Details,Shipping Weight,Image,Product Url,Is Amazon Seller,Product Description
A11,Jacket,Puma,Clothing,high quality material,$33.92 ,,,,https://images-na.ssl-images-amazon.com/images/I/51wmH8yyGxL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Bedding-Chevron-Window-Valance-Curtain/dp/B00LSJV9TS,Y,
A12,shoes,Puma,,,$14.99 ,ProductDimensions:5.5x7.5x1.8inches|ItemWeight:5.3ounces|ShippingWeight:5.6ounces(Viewshippingratesandpolicies)|ASIN:B07WG9XJDZ|Itemmodelnumber:6288704|Manufacturerrecommendedage:7yearsandup,"show up to 2 reviews by default Kids can enjoy real-world Minecraft adventures on a big scale with 2 buildable characters from the popular video game: a BigFig Creeper and an Ocelot. This LEGO Minecraft toy provides hours of independent play and gives kids a cool LEGO Minecraft decoration for their room! Children ages 7 and up will love to recreate the familiar Minecraft confrontation between a Creeper and an Ocelot. The LEGO brick characters are easy to assemble and look amazing. Movable feet and a head that turns give the Creeper authentic mobility, and the yellow, spotted Ocelot is quick to react with its posable head, legs and tail. Easy to position – great to play and display! LEGO Minecraft BigFig sets are supercool, super-collectible and, best of all for adults, a super holiday or birthday gift for kids. Designed to put open-ended creative play in youngsters' hands, they're extra-large for extra enjoyment and take Minecraft fun to new heights! | 5.6 ounces (View shipping rates and policies)",5.6 ounces,https://images-na.ssl-images-amazon.com/images/I/51LoYG%2BDsLL.jpg|https://images-na.ssl-images-amazon.com/images/I/41iJZfG7RGL.jpg|https://images-na.ssl-images-amazon.com/images/I/51e0Ya7DqhL.jpg|https://images-na.ssl-images-amazon.com/images/I/51-hadIdxSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51oI9%2BDm6BL.jpg|https://images-na.ssl-images-amazon.com/images/I/51yQeWvfOlL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Yrqzea0zL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/LEGO-Minecraft-Characters-Buildable-Decoration/dp/B07WG9XJDZ,Y,Best gaming experience
A13,lab equipment,Labware,,,$4.99 ,ProductDimensions:5x0x4inches|ItemWeight:0.16ounces|ShippingWeight:0.16ounces(Viewshippingratesandpolicies)|DomesticShipping:ItemcanbeshippedwithinU.S.|InternationalShipping:ThisitemcanbeshippedtoselectcountriesoutsideoftheU.S.LearnMore|ASIN:B00U87LZ0Y|Itemmodelnumber:S-DC-0140|Manufacturerrecommendedage:4-15years,show up to 2 reviews by default C&D Visionary is a manufacturer and wholesale distributor for licensed entertainment merchandise and original artworks. DC Comic Originals Flash Logo Sticker. | 0.16 ounces (View shipping rates and policies),0.16 ounces,https://images-na.ssl-images-amazon.com/images/I/51RLMxSin-L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Visionary-Comic-Originals-Flash-Sticker/dp/B00U87LZ0Y,Y,Best gaming experience
A14,cleaning robot,iRobot,Home & Kitchen ,Best robotic experience,$34.39 ,"ProductDimensions:15.3x1.8x14.2inches|ItemWeight:2.2pounds|ShippingWeight:2.1pounds(Viewshippingratesandpolicies)|DomesticShipping:Currently,itemcanbeshippedonlywithintheU.S.andtoAPO/FPOaddresses.ForAPO/FPOshipments,pleasecheckwiththemanufacturerregardingwarrantyandsupportissues.|InternationalShipping:ThisitemcanbeshippedtoselectcountriesoutsideoftheU.S.LearnMore|ASIN:B00247R078|Itemmodelnumber:299142|Manufacturerrecommendedage:36months-6years|Batteries:3AAbatteriesrequired.(included)",Color:Primary show up to 2 reviews by default Product Description ABC Melody Maker is an exciting electronic learning companion featuring five fun games and a ten note musical keyboard sure to entertain and educate youngsters. This colorful interactive unit features an activity selector that puts kids in charge of choosing their fun. Children won't even realize they're learning! Song book included. Requires three AA batteries (included). Ages 3+ years. From the Manufacturer ABC Melody Maker is an exciting electronic learning companion featuring five fun games and a ten note musical keyboard sure to entertain and educate youngsters. This colorful interactive unit features an activity selector that puts kids in charge of choosing their fun. Children won’t even realize they’re learning. Song book included. Requires three “AA” batteries (included). Ages 3+ years. | 2.1 pounds (View shipping rates and policies),2.1 pounds,https://images-na.ssl-images-amazon.com/images/I/61EE6qrO2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/41K2cemcS%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/519ghjzl2vL.jpg|https://images-na.ssl-images-amazon.com/images/I/51HrH7ciDYL.jpg|https://images-na.ssl-images-amazon.com/images/I/51dCgcBuqaL.jpg|https://images-na.ssl-images-amazon.com/images/I/71mdBUQPvFL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Learning-Journey-ABC-Melody-Maker/dp/B00247R078,Y,Best gaming experience
A15,Industrial tools,Bosch,Industrial Product,lasting Quality,$12.88 ,"ASIN:1623999340|ShippingWeight:2.9pounds(Viewshippingratesandpolicies)|DomesticShipping:ItemcanbeshippedwithinU.S.|InternationalShipping:ThisitemcanbeshippedtoselectcountriesoutsideoftheU.S.LearnMore|DateFirstAvailable:November19,2012","Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | Display the Common Core Standards and ""I Can"" statements in your classroom everyday! | Brand Name Carson-Dellosa Item Weight 1.8 pounds Product Dimensions 12.5 x 3 x 4 inches Item model number 158173 Number of Items 1 Manufacturer Part Number 158173 | 2.9 pounds (View shipping rates and policies)",2.9 pounds,https://images-na.ssl-images-amazon.com/images/I/41gxkFaSFfL.jpg|https://images-na.ssl-images-amazon.com/images/I/41kkqglR8UL.jpg|https://images-na.ssl-images-amazon.com/images/I/51DAhW0e2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/3133HWxBz0L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Complete-Common-Core-State-Standards/dp/1623999340,Y,Best gaming experience
A16,furnitures,IKEA,Home Furniture,best interior furnitures,$117.26 ,"ASIN:B00777W7GE|ShippingWeight:39pounds(Viewshippingratesandpolicies)|DateFirstAvailable:March26,2012","Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | Color:Red show up to 2 reviews by default This Trapezoid Activity Table is a must have for daycare, preschool and early childhood development centers. Enhance collaborative learning by grouping tables together. It will accommodate children up to age 7.It features a 25.5''W x 46.25''L high pressure scratch, stain and warp resistant laminate top with a black edge band and 16 gauge tubular steel legs for increased stability. The top incorporates a protective underside backing sheet to prevent moisture absorption and warping. An attractive black powder coated finish protects the upper legs from scratches and height adjustable chrome lower legs give you the flexibility to raise or lower the table a full 9 inches in 1 inch increments. Self-leveling nylon floor glides keep the table from wobbling and protect your floor by sliding smoothly when you need to move it.Perfect for craft time, snack time and party time, this easy to clean table is just the right size for small children. | Item Weight 32 pounds Product Dimensions 45 x 25 x 25.2 inches Item model number XU-A2448-TRAP-RED-H-P-GG Assembled Height 25.25 inches Assembled Width 25 inches Assembled Length 45 inches Weight 32 Pounds | 39 pounds (View shipping rates and policies)",39 pounds,https://images-na.ssl-images-amazon.com/images/I/31WxfYlS8XL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Flash-Furniture-Trapezoid-Laminate-Activity/dp/B00777W7GE,Y,Smart technology home appliences
A17,Mobile Phone,Apple,Electronic device,cutting-edge technology,$9.39 ,ProductDimensions:10x7x3inches|ItemWeight:15.2ounces|ShippingWeight:15.2ounces(Viewshippingratesandpolicies)|ASIN:B079C6NV2Y|Itemmodelnumber:VKIT|Manufacturerrecommendedage:36months-5years,"Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | For almost 50 years, Schylling toys has been delighting generations of children with toys that inspire, enthrall and engage. As the world leader in traditional toys and classic fun, we believe that fun never goes out of style. We develop new products with a timeless appeal, perhaps from a bygone era With a nostalgic feel, that will bring joy, delight and excitement to children. We firmly believe that the best toys take you on an adventure, teach you new things, bring people together and create life long memories. We strive to make special toys; toys that are cherished, toys that are beautiful, toys that create a special place in children's lives. They need not be complicated or trendy, battery powered or electronic. They just need to engage a child and spark imagination, curiosity and even a sense of wonder. Schylling toys will never waver from its goal of developing exceptional toys that bring a smile, toys that are destined to become playroom heirlooms. | 15.2 ounces (View shipping rates and policies)",15.2 ounces,https://images-na.ssl-images-amazon.com/images/I/51wOrcShPHL.jpg|https://images-na.ssl-images-amazon.com/images/I/41KtrpEc-OL.jpg|https://images-na.ssl-images-amazon.com/images/I/416oOTjDxjL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Schylling-Veterinarian-Kit/dp/B079C6NV2Y,Y,Best gaming experience
A18,Laptop,Samsung,,,$17.85 ,ProductDimensions:2.6x4.2x9inches|ItemWeight:0.48ounces|ShippingWeight:4.2ounces(Viewshippingratesandpolicies)|ASIN:B07FQ4JBXG|Itemmodelnumber:E5785AS00|Manufacturerrecommendedage:5yearsandup|Batteries:3LR44batteriesrequired.(included),"Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | Yellies! Are the cutest, fuzziest pets that respond to your voice! Each yellies! Pet has its own unique look and personality and is full of fun surprises! Voice and sound-activated, they respond to talking, yelling, clapping, singing, or even music. The louder you yell, the faster they go! Find your favorite! (Each sold separately. Subject to availability. Actual Deco will vary.) parents, discover MORE at yellies.Com. yellies! And all related characters are trademarks of Hasbro. | 4.2 ounces (View shipping rates and policies)",4.2 ounces,https://images-na.ssl-images-amazon.com/images/I/41YYqvdWT5L.jpg|https://images-na.ssl-images-amazon.com/images/I/41DPgMd86%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/51r576EiIoL.jpg|https://images-na.ssl-images-amazon.com/images/I/51gCz94AkML.jpg|https://images-na.ssl-images-amazon.com/images/I/51yYcBhA-CL.jpg|https://images-na.ssl-images-amazon.com/images/I/51QQm1rXLKL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Hasbro-Yellies-Frizz-Voice-Activated-Spider/dp/B07FQ4JBXG,Y,Best gaming experience
A19,Jacket,Puma,Clothing,high quality material,$27.50 ,ProductDimensions:13x7x10inches|ItemWeight:2pounds|ShippingWeight:2pounds(Viewshippingratesandpolicies)|DomesticShipping:ItemcanbeshippedwithinU.S.|InternationalShipping:ThisitemcanbeshippedtoselectcountriesoutsideoftheU.S.LearnMore|ASIN:B00GJAT9JI|Itemmodelnumber:HK318329|Manufacturerrecommendedage:36months-10years,"show up to 2 reviews by default Be the princess of the party with this colorful Sofia the First Sleepover Purse Set. This sleepover purse set includes all the necessities for the perfect sleepover - slumber sack, eye mask and carry bag - all featuring colorful graphics of your favorite little ponies. Every little girl will want one for the next party or sleepover. Slumber sack is polyester and measures 27 Inch by 57 Inch. Sleepover Purse Set is spot clean only. The purse itself containing all items measures: 13"" L x 7"" W x 10"" H. | 2 pounds (View shipping rates and policies)",2 pounds,https://images-na.ssl-images-amazon.com/images/I/51oF4e0NvcL.jpg|https://images-na.ssl-images-amazon.com/images/I/41RYGh-7NOL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Disney-HK318329-Sofia-First-Sleepover/dp/B00GJAT9JI,Y,Best gaming experience
A20,Jewllery,Dezire,Jewllery and Accessories,,$10.99 ,ProductDimensions:5.8x0.2x3.4inches|ItemWeight:0.48ounces|ShippingWeight:1.6ounces(Viewshippingratesandpolicies)|DomesticShipping:ItemcanbeshippedwithinU.S.|InternationalShipping:Thisitemisnoteligibleforinternationalshipping.LearnMore|ASIN:B000BOB45U|Itemmodelnumber:ASC9665|Manufacturerrecommendedage:15yearsandup,1.6 ounces (View shipping rates and policies) | show up to 2 reviews by default From the Manufacturer This is Associated's optional hinge pin brace for use on the Associated B4/T4.,1.6 ounces,https://images-na.ssl-images-amazon.com/images/I/41bHRYbeLgL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Team-Associated-9665-Hinge-Brace/dp/B000BOB45U,Y,Best gaming experience
A21,Gaming kit,Lego,Sports and Games,Best gaming experience,$159.99 ,ProductDimensions:15.7x11.8x5.1inches|ItemWeight:5.25pounds|ShippingWeight:5.3pounds(Viewshippingratesandpolicies)|ASIN:B00JZO7CNA|Itemmodelnumber:03373|Manufacturerrecommendedage:36months-12years,"Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | Plus-Plus is a whole new class of construction toy! One simple shape contains endless possibilities and hours of fun. Each piece easily connects to the next and lets your imagination create colorful flat mosaics or work in 3-D to make more intricate builds. Even curves are possible thanks to the unique design of this deceptively simple shape! A perfect STEM toy to develop fine motor skills, focus and patience - as well as design, imagination and creativity! All Plus-Plus sets are compatible with each other and this open play set adds more pieces and colors to the collection for more possibilities and fun. This 3,600 piece set contains Basic Colors, including Red, Blue, Green, Yellow, Orange, Purple and more. Also includes a reuseable storage tub an Idea Guide Booklet for building. BPA-free and phthalate-free. Designed and made in Denmark. | 5.3 pounds (View shipping rates and policies)",5.3 pounds,https://images-na.ssl-images-amazon.com/images/I/51qmz2JiIHL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ZItvbSFML.jpg|https://images-na.ssl-images-amazon.com/images/I/41%2BAGovcVHL.jpg|https://images-na.ssl-images-amazon.com/images/I/519pSZe%2BFgL.jpg|https://images-na.ssl-images-amazon.com/images/I/41jEl9-7SdL.jpg|https://images-na.ssl-images-amazon.com/images/I/41hQAb5heyL.jpg|https://images-na.ssl-images-amazon.com/images/I/41DPx6b6fRL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/PLUS-3600-Pc-Set-Educational/dp/B00JZO7CNA,Y,Best gaming experience
A22,Baby powder,Johnson & Johnson,Baby Product,safe and hygiene,$12.63 ,,Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it!,,https://images-na.ssl-images-amazon.com/images/I/41BRiHD0dYL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Party-Orange-Plastic-Plates-Supply/dp/B00BFX761C,Y,Best gaming experience
A23,Laptop,Samsung,,,$11.88 ,ProductDimensions:0.9x8.5x8.5inches|ItemWeight:9.1ounces|ShippingWeight:11.2ounces(Viewshippingratesandpolicies)|DomesticShipping:ItemcanbeshippedwithinU.S.|InternationalShipping:ThisitemcanbeshippedtoselectcountriesoutsideoftheU.S.LearnMore|ASIN:B015EOHBKI|Itemmodelnumber:68008|Manufacturerrecommendedage:36months-4years,show up to 2 reviews by default Peppa Pig Shape Sorter Clock Puzzle (12Piece) | 11.2 ounces (View shipping rates and policies),11.2 ounces,https://images-na.ssl-images-amazon.com/images/I/519BaFjimBL.jpg|https://images-na.ssl-images-amazon.com/images/I/51vOIUMj0ML.jpg|https://images-na.ssl-images-amazon.com/images/I/51QRaxeSHcL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Peppa-Pig-Sorter-Puzzle-12Piece/dp/B015EOHBKI,Y,Best gaming experience
